policy_id,policy_tenure,age_of_car,age_of_policyholder,area_cluster,population_density,make,is_claim,segment,model,fuel_type,max_torque,max_power,engine_type,airbags,is_esc,is_adjustable_steering,is_tpms,is_parking_sensors,is_parking_camera,rear_brakes_type,displacement,cylinder,transmission_type,gear_box,steering_type,turning_radius,Length,width,height,Gross_weight,is_front_fog_lights,is_rear_window_wiper,is_rear_window_washer,is_rear_window_defogger,is_brake_assist,is_power_door_locks,is_central_locking,is_power_steering,is_driver_seat_height_adjustable,is_day_night_rear_view_mirror,is_ecw,is_speed_alert,ncap_rating
ID00011,0.951416171,0.01,0.596153846,C5,34738,1,0,A,M1,CNG,60Nm@3500rpm,40.36bhp@6000rpm,F8D Petrol Engine,2,No,No,No,Yes,No,Drum,796,3,Manual,5,Power,4.6,(mm)3445,1515(mm),1475,1185KG,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0
ID00012,0.083180015,0.12,0.298076923,C3,"4076""",1,0,B1,M8,CNG,82.1Nm@3400rpm,55.92bhp@5300rpm,K10C,2,No,No,No,Yes,No,Drum,998,3,Manual,5,Power,4.7,(mm)3655,1620(mm),1675,1340KG,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,2
ID00013,0.045833999,0.03,0.480769231,C3,4076,1,1,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2,No,Yes,No,Yes,No,Drum,1197,4,Manual,5,Electric,4.8,(mm)3845,1735(mm),1530,1335KG,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2
ID00014,0.520336974,0.1,0.307692308,C10,73430,1,0,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2,No,Yes,No,Yes,No,Drum,1197,4,Manual,5,Electric,4.8,(mm)3845,1735(mm),1530,1335KG,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2
ID00015,0.213588588,0.04,0.403846154,C11,6108,1,0,A,M1,CNG,60Nm@3500rpm,40.36bhp@6000rpm,F8D Petrol Engine,2,No,No,No,Yes,No,Drum,796,3,Manual,5,Power,4.6,(mm)3445,1515(mm),1475,1185KG,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0
ID00016,0.897770851,0.04,0.576923077,C5,34738,3,0,C2,M4,Diesel,250Nm@2750rpm,113.45bhp@4000rpm,1.5 L U2 CRDi,6,Yes,Yes,Yes,Yes,Yes,Disc,1493,4,Automatic,6,Power,5.2,(mm)4300,1790(mm),1635,1720KG,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,3
ID00017,0.321144554,0.03,0.605769231,C2,27003_,1,0,A,M1,CNG,60Nm@3500rpm,40.36bhp@6000rpm,F8D Petrol Engine,2,No,No,No,Yes,No,Drum,796,3,Manual,5,Power,4.6,(mm)3445,1515(mm),1475,1185KG,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0
ID00018,0.241421248,0.12,0.471153846,C9,17804,5,0,C1,M9,Diesel,200Nm@1750rpm,97.89bhp@3600rpm,i-DTEC,2,No,Yes,No,Yes,Yes,Drum,1498,4,Manual,5,Electric,4.9,(mm)3995,1695(mm),1501,1051KG,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4
ID00019,0.295966729,0.12,0.5,C8,8794,3,0,C2,M4,Diesel,250Nm@2750rpm,113.45bhp@4000rpm,1.5 L U2 CRDi,6,Yes,Yes,Yes,Yes,Yes,Disc,1493,4,Automatic,6,Power,5.2,(mm)4300,1790(mm),1635,1720KG,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,3
ID00020,0.758622595,0.09,0.394230769,C5,34738,1,1,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2,No,Yes,No,Yes,No,Drum,1197,4,Manual,5,Electric,4.8,(mm)3845,1735(mm),1530,1335KG,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2
ID00021,0.301701572,0.05,0.403846154,C11,"6108""",3,0,C2,M4,Diesel,250Nm@2750rpm,113.45bhp@4000rpm,1.5 L U2 CRDi,6,Yes,Yes,Yes,Yes,Yes,Disc,1493,4,Automatic,6,Power,5.2,(mm)4300,1790(mm),1635,1720KG,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,3
ID00022,0.527085217,0,0.615384615,C4,21622,1,1,A,M1,CNG,60Nm@3500rpm,40.36bhp@6000rpm,F8D Petrol Engine,2,No,No,No,Yes,No,Drum,796,3,Manual,5,Power,4.6,(mm)3445,1515(mm),1475,1185KG,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0
ID00023,0.630598332,0.08,0.317307692,C2,27003,1,0,Utility,M10,CNG,85Nm@3000rpm,61.68bhp@6000rpm,G12B,1,No,No,No,Yes,No,Drum,1196,4,Manual,5,Manual,4.5,(mm)3675,1475(mm),1825,1510KG,No,No,No,No,No,No,No,No,No,No,No,Yes,0
ID00024,0.99944326,0.08,0.576923077,C2,27003_,3,1,C2,M4,Diesel,250Nm@2750rpm,113.45bhp@4000rpm,1.5 L U2 CRDi,6,Yes,Yes,Yes,Yes,Yes,Disc,1493,4,Automatic,6,Power,5.2,(mm)4300,1790(mm),1635,1720KG,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,3
ID00025,0.02056262,0.01,0.480769231,C8,8794,1,1,A,M1,CNG,60Nm@3500rpm,40.36bhp@6000rpm,F8D Petrol Engine,2,No,No,No,Yes,No,Drum,796,3,Manual,5,Power,4.6,(mm)3445,1515(mm),1475,1185KG,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0
ID00026,0.240958874,0.07,0.317307692,C3,4076,1,0,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2,No,Yes,No,Yes,No,Drum,1197,4,Manual,5,Electric,4.8,(mm)3845,1735(mm),1530,1335KG,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2
ID00027,0.775663608,0.02,0.375,C11,6108,1,0,A,M1,CNG,60Nm@3500rpm,40.36bhp@6000rpm,F8D Petrol Engine,2,No,No,No,Yes,No,Drum,796,3,Manual,5,Power,4.6,(mm)3445,1515(mm),1475,1185KG,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0
ID00028,0.524680615,0.15,0.394230769,C2,27003,1,0,B2,M7,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,1.2 L K Series Engine,6,Yes,Yes,No,Yes,Yes,Drum,1197,4,Automatic,5,Electric,4.85,(mm)3990,1745(mm),1500,1410KG,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0
ID00029,0.543358191,0.07,0.326923077,C2,27003,1,0,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2,No,Yes,No,Yes,No,Drum,1197,4,Manual,5,Electric,4.8,(mm)3845,1735(mm),1530,1335KG,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2
ID00030,1.124538112,0.07,0.490384615,C8,8794,1,1,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2,No,Yes,No,Yes,No,Drum,1197,4,Manual,5,Electric,4.8,(mm)3845,1735(mm),1530,1335KG,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2
ID00031,1.102728948,0.12,0.298076923,C12,34791,1,0,B1,M8,CNG,82.1Nm@3400rpm,55.92bhp@5300rpm,K10C,2,No,No,No,Yes,No,Drum,998,3,Manual,5,Power,4.7,(mm)3655,1620(mm),1675,1340KG,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,2
ID00032,1.146741204,0.13,0.461538462,C3,4076,1,0,B2,M7,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,1.2 L K Series Engine,6,Yes,Yes,No,Yes,Yes,Drum,1197,4,Automatic,5,Electric,4.85,(mm)3990,1745(mm),1500,1410KG,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0
ID00033,0.796578491,0.02,0.461538462,C1,4990,1,0,A,M1,CNG,60Nm@3500rpm,40.36bhp@6000rpm,F8D Petrol Engine,2,No,No,No,Yes,No,Drum,796,3,Manual,5,Power,4.6,(mm)3445,1515(mm),1475,1185KG,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0
ID00034,0.530241345,0.15,0.480769231,C10,73430,1,0,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2,No,Yes,No,Yes,No,Drum,1197,4,Manual,5,Electric,4.8,(mm)3845,1735(mm),1530,1335KG,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2
ID00035,0.468720629,0.01,0.403846154,C2,27003,1,0,A,M1,CNG,60Nm@3500rpm,40.36bhp@6000rpm,F8D Petrol Engine,2,No,No,No,Yes,No,Drum,796,3,Manual,5,Power,4.6,(mm)3445,1515(mm),1475,1185KG,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0
ID00036,1.193936298,0.39,0.403846154,C8,8794,3,0,C2,M4,Diesel,250Nm@2750rpm,113.45bhp@4000rpm,1.5 L U2 CRDi,6,Yes,Yes,Yes,Yes,Yes,Disc,1493,4,Automatic,6,Power,5.2,(mm)4300,1790(mm),1635,1720KG,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,3
ID00037,0.758760266,0.01,0.384615385,C5,34738,1,0,A,M1,CNG,60Nm@3500rpm,40.36bhp@6000rpm,F8D Petrol Engine,2,No,No,No,Yes,No,Drum,796,3,Manual,5,Power,4.6,(mm)3445,1515(mm),1475,1185KG,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0
ID00038,1.152403851,0.08,0.490384615,C13,5410,1,0,B1,M8,CNG,82.1Nm@3400rpm,55.92bhp@5300rpm,K10C,2,No,No,No,Yes,No,Drum,998,3,Manual,5,Power,4.7,(mm)3655,1620(mm),1675,1340KG,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,2
ID00039,1.124138178,0.12,0.403846154,C8,8794,1,0,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2,No,Yes,No,Yes,No,Drum,1197,4,Manual,5,Electric,4.8,(mm)3845,1735(mm),1530,1335KG,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2
ID00040,0.128866092,0.02,0.576923077,C3,4076,1,0,A,M1,CNG,60Nm@3500rpm,40.36bhp@6000rpm,F8D Petrol Engine,2,No,No,No,Yes,No,Drum,796,3,Manual,5,Power,4.6,(mm)3445,1515(mm),1475,1185KG,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0
ID00041,0.247247659,0.08,0.471153846,C8,8794,3,0,C2,M4,Diesel,250Nm@2750rpm,113.45bhp@4000rpm,1.5 L U2 CRDi,6,Yes,Yes,Yes,Yes,Yes,Disc,1493,4,Automatic,6,Power,5.2,(mm)4300,1790(mm),1635,1720KG,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,3
ID00042,0.112364879,0,0.384615385,C3,4076,1,0,A,M1,CNG,60Nm@3500rpm,40.36bhp@6000rpm,F8D Petrol Engine,2,No,No,No,Yes,No,Drum,796,3,Manual,5,Power,4.6,(mm)3445,1515(mm),1475,1185KG,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0
ID00043,0.844741731,0.04,0.394230769,C3,4076_,4,0,B2,M5,Diesel,200Nm@3000rpm,88.77bhp@4000rpm,1.5 Turbocharged Revotorq,2,No,Yes,No,Yes,No,Drum,1497,4,Manual,5,Electric,5,(mm)3990,1755(mm),1523,1490KG,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,5
ID00044,0.132377284,0.07,0.490384615,C8,8794,1,0,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2,No,Yes,No,Yes,No,Drum,1197,4,Manual,5,Electric,4.8,(mm)3845,1735(mm),1530,1335KG,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2
ID00045,1.055754509,0.1,0.923076923,C8,8794,1,0,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2,No,Yes,No,Yes,No,Drum,1197,4,Manual,5,Electric,4.8,(mm)3845,1735(mm),1530,1335KG,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2
ID00046,0.715804194,0.02,0.403846154,C3,4076,1,0,A,M1,CNG,60Nm@3500rpm,40.36bhp@6000rpm,F8D Petrol Engine,2,No,No,No,Yes,No,Drum,796,3,Manual,5,Power,4.6,(mm)3445,1515(mm),1475,1185KG,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0
ID00047,1.216342248,0.15,0.692307692,C8,8794,3,0,C2,M4,Diesel,250Nm@2750rpm,113.45bhp@4000rpm,1.5 L U2 CRDi,6,Yes,Yes,Yes,Yes,Yes,Disc,1493,4,Automatic,6,Power,5.2,(mm)4300,1790(mm),1635,1720KG,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,3
ID00048,0.082137239,0.03,0.326923077,C3,4076,3,0,C2,M4,Diesel,250Nm@2750rpm,113.45bhp@4000rpm,1.5 L U2 CRDi,6,Yes,Yes,Yes,Yes,Yes,Disc,1493,4,Automatic,6,Power,5.2,(mm)4300,1790(mm),1635,1720KG,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,3
ID00049,1.235398749,0.11,0.471153846,C8,8794,1,0,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2,No,Yes,No,Yes,No,Drum,1197,4,Manual,5,Electric,4.8,(mm)3845,1735(mm),1530,1335KG,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2
ID00050,0.345261469,0.03,0.451923077,C5,34738,1,0,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2,No,Yes,No,Yes,No,Drum,1197,4,Manual,5,Electric,4.8,(mm)3845,1735(mm),1530,1335KG,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2
ID00051,0.916421269,0,0.326923077,C2,27003,4,0,B2,M5,Diesel,200Nm@3000rpm,88.77bhp@4000rpm,1.5 Turbocharged Revotorq,2,No,Yes,No,Yes,No,Drum,1497,4,Manual,5,Electric,5,(mm)3990,1755(mm),1523,1490KG,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,5
ID00052,1.088505468,0.01,0.413461538,C2,27003,1,0,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2,No,Yes,No,Yes,No,Drum,1197,4,Manual,5,Electric,4.8,(mm)3845,1735(mm),1530,1335KG,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2
ID00053,1.075523255,0.17,0.682692308,C13,5410,1,0,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2,No,Yes,No,Yes,No,Drum,1197,4,Manual,5,Electric,4.8,(mm)3845,1735(mm),1530,1335KG,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2
ID00054,1.084545126,0.06,0.365384615,C12,34791,1,0,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2,No,Yes,No,Yes,No,Drum,1197,4,Manual,5,Electric,4.8,(mm)3845,1735(mm),1530,1335KG,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2
ID00055,0.167815014,0,0.480769231,C5,34738,1,0,A,M1,CNG,60Nm@3500rpm,40.36bhp@6000rpm,F8D Petrol Engine,2,No,No,No,Yes,No,Drum,796,3,Manual,5,Power,4.6,(mm)3445,1515(mm),1475,1185KG,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0
ID00056,0.330100559,0.1,0.355769231,C14,7788,5,0,C1,M9,Diesel,200Nm@1750rpm,97.89bhp@3600rpm,i-DTEC,2,No,Yes,No,Yes,Yes,Drum,1498,4,Manual,5,Electric,4.9,(mm)3995,1695(mm),1501,1051KG,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4
ID00057,0.943037693,0.12,0.403846154,C14,7788,1,0,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2,No,Yes,No,Yes,No,Drum,1197,4,Manual,5,Electric,4.8,(mm)3845,1735(mm),1530,1335KG,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2
ID00058,0.011489455,0,0.480769231,C4,21622,3,0,C2,M4,Diesel,250Nm@2750rpm,113.45bhp@4000rpm,1.5 L U2 CRDi,6,Yes,Yes,Yes,Yes,Yes,Disc,1493,4,Automatic,6,Power,5.2,(mm)4300,1790(mm),1635,1720KG,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,3
ID00059,0.541464631,0.04,0.644230769,C5,34738,1,0,A,M1,CNG,60Nm@3500rpm,40.36bhp@6000rpm,F8D Petrol Engine,2,No,No,No,Yes,No,Drum,796,3,Manual,5,Power,4.6,(mm)3445,1515(mm),1475,1185KG,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0
ID00060,1.216863282,0.04,0.509615385,C11,6108,1,0,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2,No,Yes,No,Yes,No,Drum,1197,4,Manual,5,Electric,4.8,(mm)3845,1735(mm),1530,1335KG,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2
ID00061,1.069193218,0.1,0.394230769,C9,17804,3,0,C2,M4,Diesel,250Nm@2750rpm,113.45bhp@4000rpm,1.5 L U2 CRDi,6,Yes,Yes,Yes,Yes,Yes,Disc,1493,4,Automatic,6,Power,5.2,(mm)4300,1790(mm),1635,1720KG,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,3
ID00062,1.185972467,0.05,0.538461538,C2,27003,3,0,C2,M4,Diesel,250Nm@2750rpm,113.45bhp@4000rpm,1.5 L U2 CRDi,6,Yes,Yes,Yes,Yes,Yes,Disc,1493,4,Automatic,6,Power,5.2,(mm)4300,1790(mm),1635,1720KG,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,3
ID00063,1.198923557,0.12,0.461538462,C9,17804,3,0,C2,M4,Diesel,250Nm@2750rpm,113.45bhp@4000rpm,1.5 L U2 CRDi,6,Yes,Yes,Yes,Yes,Yes,Disc,1493,4,Automatic,6,Power,5.2,(mm)4300,1790(mm),1635,1720KG,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,3
ID00064,0.090390127,0,0.673076923,C7,6112,1,0,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2,No,Yes,No,Yes,No,Drum,1197,4,Manual,5,Electric,4.8,(mm)3845,1735(mm),1530,1335KG,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2
ID00065,0.245361841,0.04,0.326923077,C15,290,1,0,A,M1,CNG,60Nm@3500rpm,40.36bhp@6000rpm,F8D Petrol Engine,2,No,No,No,Yes,No,Drum,796,3,Manual,5,Power,4.6,(mm)3445,1515(mm),1475,1185KG,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0
ID00066,0.411289303,0.08,0.298076923,C16,16206,1,0,B1,M8,CNG,82.1Nm@3400rpm,55.92bhp@5300rpm,K10C,2,No,No,No,Yes,No,Drum,998,3,Manual,5,Power,4.7,(mm)3655,1620(mm),1675,1340KG,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,2
ID00067,1.108167863,0.06,0.346153846,C2,27003,3,0,C2,M4,Diesel,250Nm@2750rpm,113.45bhp@4000rpm,1.5 L U2 CRDi,6,Yes,Yes,Yes,Yes,Yes,Disc,1493,4,Automatic,6,Power,5.2,(mm)4300,1790(mm),1635,1720KG,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,3
ID00068,1.01976953,0.17,0.375,C8,8794,1,0,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2,No,Yes,No,Yes,No,Drum,1197,4,Manual,5,Electric,4.8,(mm)3845,1735(mm),1530,1335KG,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2
ID00069,1.176621335,0.04,0.548076923,C13,5410,1,0,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2,No,Yes,No,Yes,No,Drum,1197,4,Manual,5,Electric,4.8,(mm)3845,1735(mm),1530,1335KG,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2
ID00070,0.976632692,0.04,0.394230769,C14,7788,1,0,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2,No,Yes,No,Yes,No,Drum,1197,4,Manual,5,Electric,4.8,(mm)3845,1735(mm),1530,1335KG,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2
ID00071,0.475114197,0.08,0.548076923,C2,27003,4,0,B2,M5,Diesel,200Nm@3000rpm,88.77bhp@4000rpm,1.5 Turbocharged Revotorq,2,No,Yes,No,Yes,No,Drum,1497,4,Manual,5,Electric,5,(mm)3990,1755(mm),1523,1490KG,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,5
ID00072,0.282169396,0.04,0.615384615,C10,73430,1,0,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2,No,Yes,No,Yes,No,Drum,1197,4,Manual,5,Electric,4.8,(mm)3845,1735(mm),1530,1335KG,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2
ID00073,0.639802759,0.01,0.538461538,C16,16206_,1,0,A,M1,CNG,60Nm@3500rpm,40.36bhp@6000rpm,F8D Petrol Engine,2,No,No,No,Yes,No,Drum,796,3,Manual,5,Power,4.6,(mm)3445,1515(mm),1475,1185KG,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0
ID00074,0.190606966,0.06,0.346153846,C13,5410,1,0,A,M1,CNG,60Nm@3500rpm,40.36bhp@6000rpm,F8D Petrol Engine,2,No,No,No,Yes,No,Drum,796,3,Manual,5,Power,4.6,(mm)3445,1515(mm),1475,1185KG,No,No,No,No,No,No,No,Yes,No,No,No,Yes,0
ID00075,1.194710422,0.06,0.288461538,C6,13051,3,1,C2,M4,Diesel,250Nm@2750rpm,113.45bhp@4000rpm,1.5 L U2 CRDi,6,Yes,Yes,Yes,Yes,Yes,Disc,1493,4,Automatic,6,Power,5.2,(mm)4300,1790(mm),1635,1720KG,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,3
ID00076,0.649588074,0.02,0.509615385,C12,34791,1,0,B2,M6,Petrol,113Nm@4400rpm,88.50bhp@6000rpm,K Series Dual jet,2,No,Yes,No,Yes,No,Drum,1197,4,Manual,5,Electric,4.8,(mm)3845,1735(mm),1530,1335KG,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2
