iter	Passed	Remaining
193	689	2866
194	692	2858
195	695	2854
196	699	2849
197	702	2847
198	706	2842
199	709	2837
200	712	2832
201	716	2828
202	719	2823
203	722	2817
204	724	2809
205	727	2804
206	730	2799
207	733	2791
208	735	2783
209	737	2775
210	739	2766
211	745	2769
212	749	2771
213	754	2772
214	759	2773
215	764	2774
216	769	2776
217	774	2777
218	779	2778
219	784	2780
220	790	2786
221	795	2788
222	802	2797
223	815	2824
224	821	2827
225	823	2821
226	829	2826
227	832	2819
228	835	2812
229	838	2807
230	841	2801
231	844	2797
232	848	2792
233	851	2786
234	854	2781
235	857	2774
236	859	2768
237	863	2764
238	866	2759
239	869	2754
240	873	2752
241	877	2748
242	880	2742
243	883	2736
244	886	2733
245	891	2731
246	894	2728
247	898	2723
248	901	2717
249	904	2712
250	907	2709
251	911	2704
252	914	2700
253	917	2694
254	921	2691
255	925	2688
256	928	2685
257	932	2680
258	935	2675
259	937	2668
260	940	2661
261	942	2654
262	945	2648
263	947	2641
264	951	2640
265	955	2636
266	958	2630
267	960	2622
268	962	2615
269	965	2609
270	967	2602
271	970	2597
272	973	2591
273	976	2586
274	978	2580
275	981	2574
276	984	2570
277	987	2564
278	991	2561
279	996	2562
280	1001	2562
281	1007	2564
282	1011	2563
283	1021	2575
284	1026	2574
285	1031	2574
286	1035	2573
287	1040	2573
288	1053	2591
289	1066	2610
290	1074	2618
291	1080	2618
292	1084	2616
293	1086	2608
294	1089	2603
295	1091	2596
296	1094	2591
297	1098	2588
298	1103	2588
299	1107	2583
300	1109	2576
301	1112	2571
302	1115	2566
303	1119	2562
304	1122	2558
305	1125	2552
306	1127	2545
307	1129	2538
308	1133	2533
309	1136	2529
310	1139	2525
311	1143	2520
312	1145	2513
313	1148	2508
314	1152	2505
315	1155	2500
316	1159	2497
317	1162	2492
318	1164	2486
319	1167	2481
320	1170	2475
321	1172	2469
322	1176	2466
323	1179	2461
324	1183	2457
325	1185	2451
326	1188	2445
327	1190	2439
328	1194	2435
329	1197	2431
330	1200	2425
331	1202	2420
332	1205	2413
333	1207	2406
334	1209	2400
335	1211	2394
336	1213	2388
337	1218	2386
338	1223	2385
339	1227	2383
340	1233	2383
341	1238	2381
342	1242	2380
343	1247	2378
344	1252	2377
345	1257	2376
346	1262	2375
347	1267	2374
348	1272	2372
349	1277	2371
350	1281	2369
351	1286	2367
352	1291	2366
353	1295	2363
354	1298	2358
355	1301	2354
356	1304	2349
357	1308	2345
358	1310	2339
359	1313	2334
360	1315	2329
361	1318	2323
362	1321	2318
363	1323	2312
364	1325	2306
365	1328	2300
366	1330	2295
367	1333	2289
368	1335	2283
369	1337	2277
370	1340	2271
371	1343	2268
372	1346	2263
373	1349	2258
374	1351	2252
375	1354	2247
376	1357	2244
377	1360	2239
378	1364	2235
379	1368	2232
380	1372	2229
381	1375	2225
382	1379	2221
383	1381	2216
384	1384	2211
385	1387	2206
386	1389	2201
387	1393	2198
388	1396	2193
389	1400	2190
390	1403	2186
391	1406	2181
392	1410	2177
393	1412	2173
394	1416	2170
395	1420	2166
396	1423	2161
397	1426	2157
398	1430	2154
399	1433	2150
400	1436	2145
401	1440	2142
402	1442	2137
403	1445	2131
404	1447	2126
405	1450	2121
406	1452	2116
407	1455	2111
408	1457	2106
409	1460	2101
410	1462	2095
411	1465	2091
412	1468	2087
413	1471	2082
414	1474	2078
415	1477	2073
416	1479	2069
417	1482	2064
418	1485	2059
419	1488	2054
420	1491	2050
421	1493	2046
422	1496	2041
423	1499	2037
424	1503	2033
425	1506	2029
426	1508	2024
427	1511	2019
428	1513	2014
429	1517	2011
430	1521	2009
431	1527	2007
432	1532	2006
433	1536	2003
434	1541	2002
435	1545	1999
436	1550	1997
437	1555	1995
438	1559	1993
439	1564	1991
440	1569	1989
441	1574	1988
442	1579	1986
443	1584	1984
444	1590	1983
445	1594	1980
446	1599	1978
447	1605	1977
448	1610	1975
449	1613	1972
450	1617	1969
451	1620	1964
452	1622	1958
453	1625	1954
454	1633	1956
455	1636	1952
456	1640	1949
457	1644	1946
458	1647	1941
459	1649	1936
460	1651	1931
461	1654	1926
462	1657	1922
463	1661	1918
464	1664	1914
465	1668	1911
466	1670	1907
467	1674	1903
468	1678	1900
469	1681	1895
470	1684	1892
471	1687	1887
472	1690	1883
473	1692	1878
474	1694	1873
475	1698	1869
476	1702	1866
477	1705	1862
478	1708	1858
479	1711	1854
480	1714	1849
481	1716	1844
482	1718	1839
483	1720	1834
484	1722	1828
485	1724	1823
486	1726	1818
487	1728	1813
488	1730	1808
489	1732	1802
490	1735	1799
491	1738	1795
492	1741	1791
493	1745	1787
494	1747	1782
495	1750	1778
496	1753	1774
497	1755	1769
498	1757	1764
499	1759	1759
500	1761	1754
501	1764	1750
502	1766	1745
503	1768	1740
504	1771	1736
505	1774	1732
506	1777	1728
507	1781	1725
508	1784	1721
509	1787	1717
510	1789	1712
511	1792	1708
512	1794	1703
513	1797	1699
514	1799	1695
515	1802	1690
516	1805	1686
517	1808	1682
518	1811	1678
519	1813	1673
520	1816	1669
521	1818	1665
522	1821	1661
523	1824	1657
524	1829	1655
525	1834	1653
526	1839	1650
527	1843	1648
528	1848	1645
529	1854	1644
530	1859	1642
531	1868	1643
532	1878	1645
533	1889	1648
534	1895	1647
535	1899	1644
536	1904	1641
537	1909	1639
538	1913	1636
539	1916	1632
540	1919	1628
541	1922	1624
542	1924	1619
543	1926	1614
544	1930	1611
545	1934	1608
546	1937	1604
547	1941	1600
548	1943	1596
549	1947	1593
550	1955	1593
551	1958	1589
552	1961	1585
553	1965	1581
554	1968	1578
555	1970	1573
556	1973	1569
557	1977	1566
558	1980	1562
559	1984	1559
560	1987	1555
561	1990	1551
562	1993	1547
563	1997	1544
564	2000	1540
565	2004	1537
566	2007	1532
567	2009	1528
568	2012	1524
569	2015	1520
570	2018	1516
571	2020	1511
572	2023	1507
573	2025	1503
574	2027	1498
575	2030	1494
576	2032	1490
577	2034	1485
578	2036	1480
579	2039	1476
580	2041	1472
581	2043	1468
582	2046	1463
583	2048	1459
584	2051	1455
585	2054	1451
586	2057	1447
587	2060	1443
588	2063	1439
589	2066	1436
590	2069	1431
591	2071	1427
592	2073	1423
593	2076	1419
594	2079	1415
595	2081	1410
596	2083	1406
597	2086	1402
598	2089	1398
599	2091	1394
600	2093	1389
601	2095	1385
602	2114	1392
603	2117	1388
604	2120	1384
605	2123	1380
606	2125	1376
607	2128	1372
608	2130	1368
609	2133	1364
610	2136	1359
611	2138	1355
612	2140	1351
613	2143	1347
614	2145	1343
615	2147	1338
616	2150	1334
617	2153	1330
618	2155	1326
619	2157	1322
620	2160	1318
621	2163	1314
622	2165	1310
623	2167	1306
624	2170	1302
625	2172	1297
626	2174	1293
627	2176	1289
628	2178	1285
629	2181	1281
630	2184	1277
631	2187	1273
632	2189	1269
633	2192	1265
634	2201	1265
635	2203	1261
636	2206	1257
637	2208	1253
638	2210	1248
639	2213	1245
640	2215	1240
641	2218	1237
642	2220	1233
643	2223	1229
644	2225	1224
645	2227	1220
646	2229	1216
647	2233	1213
648	2235	1209
649	2238	1205
650	2242	1202
651	2244	1198
652	2252	1197
653	2264	1198
654	2273	1197
655	2281	1196
656	2290	1195
657	2296	1193
658	2305	1192
659	2318	1194
660	2323	1191
661	2330	1189
662	2333	1185
663	2335	1181
664	2338	1177
665	2340	1173
666	2343	1169
667	2345	1165
668	2347	1161
669	2351	1157
670	2354	1154
671	2356	1150
672	2359	1146
673	2362	1142
674	2365	1138
675	2368	1135
676	2370	1130
677	2372	1126
678	2374	1122
679	2377	1119
680	2380	1115
681	2382	1110
682	2384	1106
683	2386	1102
684	2389	1098
685	2391	1094
686	2394	1090
687	2397	1087
688	2400	1083
689	2402	1079
690	2405	1075
691	2407	1071
692	2409	1067
693	2413	1063
694	2415	1060
695	2417	1056
696	2421	1052
697	2423	1048
698	2425	1044
699	2428	1040
700	2431	1036
701	2433	1033
702	2435	1029
703	2438	1025
704	2440	1021
705	2442	1017
706	2445	1013
707	2447	1009
708	2450	1005
709	2452	1001
710	2454	997
711	2456	993
712	2458	989
713	2460	985
714	2462	981
715	2464	977
716	2466	973
717	2469	969
718	2472	966
719	2474	962
720	2476	958
721	2479	954
722	2481	950
723	2483	946
724	2485	942
725	2488	939
726	2491	935
727	2493	931
728	2495	927
729	2498	923
730	2500	920
731	2503	916
732	2505	912
733	2508	909
734	2510	905
735	2512	901
736	2515	897
737	2517	893
738	2520	890
739	2522	886
740	2526	883
741	2531	880
742	2535	877
743	2540	874
744	2545	871
745	2550	868
746	2556	865
747	2560	862
748	2564	859
749	2569	856
750	2573	853
751	2578	850
752	2583	847
753	2588	844
754	2592	841
755	2597	838
756	2601	835
757	2605	831
758	2609	828
759	2613	825
760	2616	821
761	2618	817
762	2621	814
763	2624	810
764	2627	807
765	2630	803
766	2633	800
767	2636	796
768	2639	792
769	2642	789
770	2647	786
771	2650	782
772	2652	779
773	2656	775
774	2659	772
775	2663	768
776	2666	765
777	2669	761
778	2672	758
779	2676	754
780	2678	751
781	2681	747
782	2684	743
783	2686	740
784	2690	736
785	2693	733
786	2696	729
787	2698	726
788	2700	722
789	2703	718
790	2706	715
791	2709	711
792	2712	708
793	2716	704
794	2720	701
795	2722	697
796	2725	694
797	2728	690
798	2730	686
799	2733	683
800	2736	679
801	2739	676
802	2741	672
803	2744	668
804	2747	665
805	2749	661
806	2752	658
807	2754	654
808	2757	651
809	2760	647
810	2763	644
811	2766	640
812	2768	636
813	2770	633
814	2773	629
815	2775	625
816	2779	622
817	2781	618
818	2784	615
819	2786	611
820	2789	608
821	2791	604
822	2794	601
823	2798	597
824	2801	594
825	2804	590
826	2807	587
827	2810	583
828	2813	580
829	2816	576
830	2819	573
831	2822	569
832	2825	566
833	2827	562
834	2831	559
835	2833	555
836	2835	552
837	2838	548
838	2841	545
839	2843	541
840	2847	538
841	2849	534
842	2852	531
843	2858	528
844	2868	526
845	2875	523
846	2879	520
847	2885	517
848	2889	513
849	2894	510
850	2899	507
851	2904	504
852	2909	501
853	2914	498
854	2919	495
855	2924	491
856	2928	488
857	2933	485
858	2938	482
859	2941	478
860	2944	475
861	2948	472
862	2950	468
863	2953	464
864	2956	461
865	2958	457
866	2960	454
867	2962	450
868	2965	446
869	2967	443
870	2970	439
871	2973	436
872	2976	433
873	2979	429
874	2981	425
875	2983	422
876	2986	418
877	2990	415
878	2993	412
879	2996	408
880	3000	405
881	3003	401
882	3005	398
883	3008	394
884	3010	391
885	3014	387
886	3017	384
887	3020	380
888	3023	377
889	3026	374
890	3029	370
891	3031	367
892	3033	363
893	3036	360
894	3040	356
895	3043	353
896	3046	349
897	3049	346
898	3052	342
899	3056	339
900	3059	336
901	3062	332
902	3065	329
903	3069	325
904	3071	322
905	3073	318
906	3075	315
907	3077	311
908	3079	308
909	3083	304
910	3086	301
911	3088	298
912	3092	294
913	3094	291
914	3097	287
915	3099	284
916	3101	280
917	3104	277
918	3107	273
919	3110	270
920	3112	267
921	3115	263
922	3118	260
923	3121	256
924	3123	253
925	3126	249
926	3129	246
927	3131	242
928	3134	239
929	3136	236
930	3138	232
931	3141	229
932	3144	225
933	3146	222
934	3149	218
935	3151	215
936	3155	212
937	3157	208
938	3160	205
939	3163	201
940	3169	198
941	3173	195
942	3178	192
943	3182	188
944	3187	185
945	3192	182
946	3197	178
947	3202	175
948	3206	172
949	3212	169
950	3217	165
951	3221	162
952	3226	159
953	3231	155
954	3235	152
955	3240	149
956	3245	145
957	3250	142
958	3253	139
959	3256	135
960	3259	132
961	3262	128
962	3266	125
963	3268	122
964	3271	118
965	3273	115
966	3276	111
967	3278	108
968	3281	104
969	3283	101
970	3286	98
971	3288	94
972	3291	91
973	3294	87
974	3299	84
975	3301	81
976	3304	77
977	3307	74
978	3310	71
979	3314	67
980	3317	64
981	3321	60
982	3323	57
983	3326	54
984	3328	50
985	3331	47
986	3333	43
987	3336	40
988	3339	37
989	3342	33
990	3346	30
991	3349	27
992	3357	23
993	3360	20
994	3363	16
995	3367	13
996	3370	10
997	3373	6
998	3376	3
999	3379	0
